Id,Geography,Total; Estimate; Population 18 to 24 years,Total; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency)
0500000US29127,"Marion County, Missouri",2689,371,13.8,865,32.2
0500000US29129,"Mercer County, Missouri",247,61,24.7,69,27.9
0500000US29131,"Miller County, Missouri",1911,451,23.6,677,35.4
0500000US29133,"Mississippi County, Missouri",1132,251,22.2,468,41.3
0500000US29135,"Moniteau County, Missouri",1276,372,29.2,430,33.7
0500000US29137,"Monroe County, Missouri",606,95,15.7,225,37.1
0500000US29139,"Montgomery County, Missouri",810,161,19.9,318,39.3
0500000US29141,"Morgan County, Missouri",1358,440,32.4,583,42.9
0500000US29143,"New Madrid County, Missouri",1463,238,16.3,838,57.3
0500000US29145,"Newton County, Missouri",5272,715,13.6,1701,32.3
0500000US29147,"Nodaway County, Missouri",6740,236,3.5,1320,19.6
0500000US29149,"Oregon County, Missouri",792,117,14.8,362,45.7
0500000US29151,"Osage County, Missouri",1252,140,11.2,371,29.6
0500000US29153,"Ozark County, Missouri",565,166,29.4,205,36.3
0500000US29155,"Pemiscot County, Missouri",1611,376,23.3,802,49.8
0500000US29157,"Perry County, Missouri",1511,257,17,614,40.6
0500000US29159,"Pettis County, Missouri",3777,756,20,1173,31.1
0500000US29161,"Phelps County, Missouri",7653,735,9.6,1544,20.2
0500000US29163,"Pike County, Missouri",1699,510,30,817,48.1
0500000US29165,"Platte County, Missouri",7699,802,10.4,2181,28.3
0500000US29167,"Polk County, Missouri",3937,670,17,1041,26.4
0500000US29169,"Pulaski County, Missouri",12498,602,4.8,5647,45.2
0500000US29171,"Putnam County, Missouri",361,13,3.6,149,41.3
0500000US29173,"Ralls County, Missouri",729,131,18,235,32.2
0500000US29175,"Randolph County, Missouri",2360,558,23.6,663,28.1
0500000US29177,"Ray County, Missouri",1807,398,22,622,34.4
0500000US29179,"Reynolds County, Missouri",407,129,31.7,149,36.6
0500000US29181,"Ripley County, Missouri",1113,217,19.5,281,25.2
0500000US29183,"St. Charles County, Missouri",32579,3009,9.2,9387,28.8
0500000US29185,"St. Clair County, Missouri",621,166,26.7,277,44.6
0500000US29186,"Ste. Genevieve County, Missouri",1529,240,15.7,540,35.3
0500000US29187,"St. Francois County, Missouri",6085,1497,24.6,2179,35.8
0500000US29189,"St. Louis County, Missouri",88408,11034,12.5,24565,27.8
0500000US29195,"Saline County, Missouri",2763,443,16,620,22.4
0500000US29197,"Schuyler County, Missouri",343,98,28.6,97,28.3
0500000US29199,"Scotland County, Missouri",379,215,56.7,79,20.8
0500000US29201,"Scott County, Missouri",3280,624,19,1451,44.2
0500000US29203,"Shannon County, Missouri",646,121,18.7,285,44.1
0500000US29205,"Shelby County, Missouri",433,73,16.9,190,43.9
0500000US29207,"Stoddard County, Missouri",2436,418,17.2,938,38.5
0500000US29209,"Stone County, Missouri",1889,447,23.7,714,37.8
0500000US29211,"Sullivan County, Missouri",528,126,23.9,232,43.9
0500000US29213,"Taney County, Missouri",5388,838,15.6,1791,33.2
0500000US29215,"Texas County, Missouri",1992,522,26.2,773,38.8
0500000US29217,"Vernon County, Missouri",1784,289,16.2,685,38.4
0500000US29219,"Warren County, Missouri",2267,441,19.5,1016,44.8
0500000US29221,"Washington County, Missouri",1998,287,14.4,669,33.5
0500000US29223,"Wayne County, Missouri",943,234,24.8,379,40.2
0500000US29225,"Webster County, Missouri",2842,700,24.6,1157,40.7
0500000US29227,"Worth County, Missouri",167,31,18.6,50,29.9
0500000US29229,"Wright County, Missouri",1398,347,24.8,510,36.5
0500000US29510,"St. Louis city, Missouri",34819,5623,16.1,8674,24.9
0500000US30001,"Beaverhead County, Montana",1266,102,8.1,297,23.5
0500000US30003,"Big Horn County, Montana",1297,408,31.5,424,32.7
0500000US30005,"Blaine County, Montana",598,142,23.7,162,27.1
0500000US30007,"Broadwater County, Montana",349,134,38.4,180,51.6
0500000US30009,"Carbon County, Montana",569,137,24.1,210,36.9
0500000US30011,"Carter County, Montana",81,18,22.2,24,29.6
0500000US30013,"Cascade County, Montana",8209,1130,13.8,3023,36.8
0500000US30015,"Chouteau County, Montana",516,149,28.9,128,24.8
0500000US30017,"Custer County, Montana",1081,156,14.4,456,42.2
0500000US30019,"Daniels County, Montana",125,18,14.4,55,44
0500000US30021,"Dawson County, Montana",891,67,7.5,250,28.1
0500000US30023,"Deer Lodge County, Montana",945,265,28,478,50.6
0500000US30025,"Fallon County, Montana",166,13,7.8,55,33.1
0500000US30027,"Fergus County, Montana",694,179,25.8,307,44.2
0500000US30029,"Flathead County, Montana",7125,1187,16.7,2873,40.3
0500000US30031,"Gallatin County, Montana",15570,802,5.2,3282,21.1
0500000US30033,"Garfield County, Montana",76,0,0,35,46.1
0500000US30035,"Glacier County, Montana",1376,279,20.3,470,34.2
0500000US30037,"Golden Valley County, Montana",43,1,2.3,23,53.5
0500000US30039,"Granite County, Montana",153,54,35.3,42,27.5
0500000US30041,"Hill County, Montana",1734,199,11.5,580,33.4
0500000US30043,"Jefferson County, Montana",707,155,21.9,265,37.5
0500000US30045,"Judith Basin County, Montana",119,1,0.8,43,36.1
0500000US30047,"Lake County, Montana",2259,542,24,886,39.2
0500000US30049,"Lewis and Clark County, Montana",5613,763,13.6,1780,31.7
0500000US30051,"Liberty County, Montana",206,60,29.1,39,18.9
0500000US30053,"Lincoln County, Montana",1201,321,26.7,391,32.6
0500000US30055,"McCone County, Montana",102,9,8.8,67,65.7
0500000US30057,"Madison County, Montana",502,69,13.7,148,29.5
0500000US30059,"Meagher County, Montana",106,37,34.9,43,40.6
0500000US30061,"Mineral County, Montana",353,60,17,211,59.8
0500000US30063,"Missoula County, Montana",16814,1566,9.3,4446,26.4
0500000US30065,"Musselshell County, Montana",298,46,15.4,179,60.1
0500000US30067,"Park County, Montana",959,191,19.9,299,31.2
0500000US30069,"Petroleum County, Montana",15,7,46.7,3,20
0500000US30071,"Phillips County, Montana",275,55,20,83,30.2
0500000US30073,"Pondera County, Montana",470,132,28.1,123,26.2
0500000US30075,"Powder River County, Montana",104,12,11.5,44,42.3
0500000US30077,"Powell County, Montana",553,122,22.1,255,46.1
0500000US30079,"Prairie County, Montana",52,15,28.8,11,21.2
0500000US30081,"Ravalli County, Montana",2601,683,26.3,749,28.8
0500000US30083,"Richland County, Montana",968,183,18.9,430,44.4
0500000US30085,"Roosevelt County, Montana",1261,377,29.9,527,41.8
0500000US30087,"Rosebud County, Montana",752,112,14.9,338,44.9
0500000US30089,"Sanders County, Montana",675,221,32.7,240,35.6
0500000US30091,"Sheridan County, Montana",221,39,17.6,115,52
0500000US30093,"Silver Bow County, Montana",4169,749,18,1635,39.2
0500000US30095,"Stillwater County, Montana",551,99,18,272,49.4
0500000US30097,"Sweet Grass County, Montana",182,52,28.6,56,30.8
0500000US30099,"Teton County, Montana",429,109,25.4,155,36.1
0500000US30101,"Toole County, Montana",471,210,44.6,108,22.9
0500000US30103,"Treasure County, Montana",79,29,36.7,23,29.1
0500000US30105,"Valley County, Montana",497,128,25.8,216,43.5
0500000US30107,"Wheatland County, Montana",166,87,52.4,61,36.7
0500000US30109,"Wibaux County, Montana",75,14,18.7,21,28
0500000US30111,"Yellowstone County, Montana",13192,2162,16.4,4965,37.6
0500000US31001,"Adams County, Nebraska",3725,287,7.7,772,20.7
0500000US31003,"Antelope County, Nebraska",419,47,11.2,82,19.6
0500000US31005,"Arthur County, Nebraska",17,3,17.6,1,5.9
0500000US31007,"Banner County, Nebraska",54,4,7.4,13,24.1
0500000US31009,"Blaine County, Nebraska",37,10,27,7,18.9
0500000US31011,"Boone County, Nebraska",400,51,12.8,85,21.3
0500000US31013,"Box Butte County, Nebraska",922,253,27.4,290,31.5
0500000US31015,"Boyd County, Nebraska",82,9,11,23,28
0500000US31017,"Brown County, Nebraska",110,69,62.7,22,20
0500000US31019,"Buffalo County, Nebraska",7715,409,5.3,1353,17.5
0500000US31021,"Burt County, Nebraska",414,95,22.9,168,40.6
0500000US31023,"Butler County, Nebraska",555,126,22.7,138,24.9
0500000US31025,"Cass County, Nebraska",1808,257,14.2,650,36
0500000US31027,"Cedar County, Nebraska",613,86,14,174,28.4
0500000US31029,"Chase County, Nebraska",199,19,9.5,43,21.6
0500000US31031,"Cherry County, Nebraska",336,98,29.2,120,35.7
0500000US31033,"Cheyenne County, Nebraska",675,61,9,191,28.3
0500000US31035,"Clay County, Nebraska",441,111,25.2,124,28.1
0500000US31037,"Colfax County, Nebraska",905,188,20.8,321,35.5
0500000US31039,"Cuming County, Nebraska",758,158,20.8,252,33.2
0500000US31041,"Custer County, Nebraska",739,199,26.9,245,33.2
0500000US31043,"Dakota County, Nebraska",1974,356,18,810,41
0500000US31045,"Dawes County, Nebraska",1969,105,5.3,269,13.7
0500000US31047,"Dawson County, Nebraska",2036,549,27,704,34.6
0500000US31049,"Deuel County, Nebraska",135,17,12.6,26,19.3
0500000US31051,"Dixon County, Nebraska",405,58,14.3,149,36.8
0500000US31053,"Dodge County, Nebraska",3153,513,16.3,1007,31.9
0500000US31055,"Douglas County, Nebraska",51349,6505,12.7,14136,27.5
0500000US31057,"Dundy County, Nebraska",141,26,18.4,41,29.1
0500000US31059,"Fillmore County, Nebraska",399,63,15.8,132,33.1
0500000US31061,"Franklin County, Nebraska",204,14,6.9,73,35.8
0500000US31063,"Frontier County, Nebraska",307,25,8.1,37,12.1
0500000US31065,"Furnas County, Nebraska",303,104,34.3,64,21.1
0500000US31067,"Gage County, Nebraska",1577,241,15.3,584,37
0500000US31069,"Garden County, Nebraska",69,29,42,26,37.7
0500000US31071,"Garfield County, Nebraska",123,5,4.1,26,21.1
0500000US31073,"Gosper County, Nebraska",137,15,10.9,76,55.5
0500000US31075,"Grant County, Nebraska",81,2,2.5,3,3.7
0500000US31077,"Greeley County, Nebraska",145,42,29,24,16.6
0500000US31079,"Hall County, Nebraska",5316,943,17.7,2301,43.3
0500000US31081,"Hamilton County, Nebraska",672,169,25.1,223,33.2
0500000US31083,"Harlan County, Nebraska",212,32,15.1,58,27.4
0500000US31085,"Hayes County, Nebraska",70,23,32.9,16,22.9
0500000US31087,"Hitchcock County, Nebraska",174,27,15.5,47,27
0500000US31089,"Holt County, Nebraska",684,101,14.8,186,27.2
0500000US31091,"Hooker County, Nebraska",26,0,0,4,15.4
0500000US31093,"Howard County, Nebraska",405,48,11.9,115,28.4
0500000US31095,"Jefferson County, Nebraska",488,79,16.2,120,24.6
0500000US31097,"Johnson County, Nebraska",424,129,30.4,132,31.1
0500000US31099,"Kearney County, Nebraska",437,63,14.4,174,39.8
0500000US31101,"Keith County, Nebraska",500,63,12.6,211,42.2
0500000US31103,"Keya Paha County, Nebraska",41,1,2.4,7,17.1
0500000US31105,"Kimball County, Nebraska",194,49,25.3,81,41.8
0500000US31107,"Knox County, Nebraska",514,76,14.8,165,32.1
0500000US31109,"Lancaster County, Nebraska",45180,2833,6.3,7761,17.2
0500000US31111,"Lincoln County, Nebraska",2691,572,21.3,757,28.1
0500000US31113,"Logan County, Nebraska",59,0,0,11,18.6
0500000US31115,"Loup County, Nebraska",21,8,38.1,2,9.5
0500000US31117,"McPherson County, Nebraska",14,5,35.7,0,0
0500000US31119,"Madison County, Nebraska",3551,366,10.3,1022,28.8
0500000US31121,"Merrick County, Nebraska",573,69,12,249,43.5
0500000US31123,"Morrill County, Nebraska",326,81,24.8,91,27.9
0500000US31125,"Nance County, Nebraska",237,30,12.7,84,35.4
0500000US31127,"Nemaha County, Nebraska",1011,100,9.9,315,31.2
0500000US31129,"Nuckolls County, Nebraska",256,43,16.8,68,26.6
0500000US31131,"Otoe County, Nebraska",1249,212,17,504,40.4
0500000US31133,"Pawnee County, Nebraska",172,54,31.4,26,15.1
0500000US31135,"Perkins County, Nebraska",175,48,27.4,55,31.4
0500000US31137,"Phelps County, Nebraska",626,120,19.2,179,28.6
0500000US31139,"Pierce County, Nebraska",511,49,9.6,131,25.6
0500000US31141,"Platte County, Nebraska",2855,563,19.7,695,24.3
0500000US31143,"Polk County, Nebraska",356,88,24.7,106,29.8
0500000US31145,"Red Willow County, Nebraska",1038,97,9.3,424,40.8
0500000US31147,"Richardson County, Nebraska",509,57,11.2,196,38.5
0500000US31149,"Rock County, Nebraska",116,7,6,27,23.3
0500000US31151,"Saline County, Nebraska",2187,438,20,394,18
0500000US31153,"Sarpy County, Nebraska",14760,1555,10.5,3696,25
0500000US31155,"Saunders County, Nebraska",1477,159,10.8,429,29
0500000US31157,"Scotts Bluff County, Nebraska",3144,453,14.4,962,30.6
0500000US31159,"Seward County, Nebraska",2206,95,4.3,501,22.7
0500000US31161,"Sheridan County, Nebraska",279,84,30.1,73,26.2
0500000US31163,"Sherman County, Nebraska",176,21,11.9,26,14.8
0500000US31165,"Sioux County, Nebraska",112,8,7.1,32,28.6
0500000US31167,"Stanton County, Nebraska",412,51,12.4,120,29.1
0500000US31169,"Thayer County, Nebraska",326,70,21.5,74,22.7
0500000US31171,"Thomas County, Nebraska",41,8,19.5,7,17.1
0500000US31173,"Thurston County, Nebraska",692,209,30.2,228,32.9
0500000US31175,"Valley County, Nebraska",291,50,17.2,100,34.4
0500000US31177,"Washington County, Nebraska",1753,228,13,437,24.9
0500000US31179,"Wayne County, Nebraska",2430,88,3.6,430,17.7
0500000US31181,"Webster County, Nebraska",257,72,28,80,31.1
0500000US31183,"Wheeler County, Nebraska",54,6,11.1,0,0
0500000US31185,"York County, Nebraska",1297,176,13.6,335,25.8
0500000US32001,"Churchill County, Nevada",2263,447,19.8,890,39.3
0500000US32003,"Clark County, Nevada",184205,37209,20.2,65358,35.5
0500000US32005,"Douglas County, Nevada",3041,525,17.3,1174,38.6
0500000US32007,"Elko County, Nevada",4946,938,19,1665,33.7
0500000US32009,"Esmeralda County, Nevada",83,1,1.2,52,62.7
0500000US32011,"Eureka County, Nevada",52,25,48.1,10,19.2
0500000US32013,"Humboldt County, Nevada",1533,489,31.9,617,40.2
0500000US32015,"Lander County, Nevada",481,117,24.3,248,51.6
0500000US32017,"Lincoln County, Nevada",482,145,30.1,185,38.4
0500000US32019,"Lyon County, Nevada",3690,1115,30.2,1353,36.7
0500000US32021,"Mineral County, Nevada",345,21,6.1,146,42.3
0500000US32023,"Nye County, Nevada",2620,847,32.3,1079,41.2
0500000US32027,"Pershing County, Nevada",505,192,38,146,28.9
0500000US32029,"Storey County, Nevada",124,21,16.9,54,43.5
0500000US32031,"Washoe County, Nevada",42974,6835,15.9,12338,28.7
0500000US32033,"White Pine County, Nevada",866,207,23.9,408,47.1
0500000US32510,"Carson City, Nevada",4609,802,17.4,1551,33.7
0500000US33001,"Belknap County, New Hampshire",4404,678,15.4,1670,37.9
0500000US33003,"Carroll County, New Hampshire",3057,451,14.8,1356,44.4
0500000US33005,"Cheshire County, New Hampshire",9746,597,6.1,2344,24.1
0500000US33007,"Coos County, New Hampshire",2144,284,13.2,942,43.9
0500000US33009,"Grafton County, New Hampshire",12353,819,6.6,3167,25.6
0500000US33011,"Hillsborough County, New Hampshire",35571,4577,12.9,11323,31.8
0500000US33013,"Merrimack County, New Hampshire",14146,1540,10.9,4228,29.9
0500000US33015,"Rockingham County, New Hampshire",22798,3080,13.5,7053,30.9
0500000US33017,"Strafford County, New Hampshire",20082,1228,6.1,4726,23.5
0500000US33019,"Sullivan County, New Hampshire",3075,536,17.4,1353,44
0500000US34001,"Atlantic County, New Jersey",26301,3247,12.3,8527,32.4
0500000US34003,"Bergen County, New Jersey",73121,7395,10.1,18280,25
0500000US34005,"Burlington County, New Jersey",39571,4488,11.3,13650,34.5
0500000US34007,"Camden County, New Jersey",45403,5927,13.1,15057,33.2
0500000US34009,"Cape May County, New Jersey",7872,1126,14.3,2610,33.2
0500000US34011,"Cumberland County, New Jersey",14174,2496,17.6,5791,40.9
0500000US34013,"Essex County, New Jersey",74870,10276,13.7,21714,29
0500000US34015,"Gloucester County, New Jersey",26805,2851,10.6,8153,30.4
0500000US34017,"Hudson County, New Jersey",60985,7788,12.8,15261,25
0500000US34019,"Hunterdon County, New Jersey",10462,1733,16.6,3114,29.8
0500000US34021,"Mercer County, New Jersey",41477,5027,12.1,10359,25
0500000US34023,"Middlesex County, New Jersey",82100,7355,9,18162,22.1
0500000US34025,"Monmouth County, New Jersey",51855,5674,10.9,13885,26.8
0500000US34027,"Morris County, New Jersey",39531,4836,12.2,10240,25.9
0500000US34029,"Ocean County, New Jersey",43883,5723,13,12874,29.3
0500000US34031,"Passaic County, New Jersey",51750,6787,13.1,16970,32.8
0500000US34033,"Salem County, New Jersey",5483,853,15.6,1999,36.5
0500000US34035,"Somerset County, New Jersey",24780,3335,13.5,6780,27.4
0500000US34037,"Sussex County, New Jersey",12045,1474,12.2,3367,28
0500000US34039,"Union County, New Jersey",47982,7321,15.3,14312,29.8
0500000US34041,"Warren County, New Jersey",9155,1334,14.6,2476,27
0500000US35001,"Bernalillo County, New Mexico",66445,12525,18.9,17058,25.7
0500000US35003,"Catron County, New Mexico",83,0,0,20,24.1
0500000US35005,"Chaves County, New Mexico",6878,1588,23.1,1972,28.7
0500000US35006,"Cibola County, New Mexico",2609,713,27.3,890,34.1
0500000US35007,"Colfax County, New Mexico",1025,261,25.5,321,31.3
0500000US35009,"Curry County, New Mexico",6357,1002,15.8,2184,34.4
0500000US35011,"De Baca County, New Mexico",198,117,59.1,17,8.6
0500000US35013,"Doña Ana County, New Mexico",31306,4398,14,6673,21.3
0500000US35015,"Eddy County, New Mexico",5000,1169,23.4,1778,35.6
0500000US35017,"Grant County, New Mexico",2296,468,20.4,701,30.5
0500000US35019,"Guadalupe County, New Mexico",316,53,16.8,119,37.7
0500000US35021,"Harding County, New Mexico",41,6,14.6,7,17.1
0500000US35023,"Hidalgo County, New Mexico",460,109,23.7,223,48.5
0500000US35025,"Lea County, New Mexico",6903,1617,23.4,2218,32.1
0500000US35027,"Lincoln County, New Mexico",1188,288,24.2,309,26
0500000US35028,"Los Alamos County, New Mexico",1016,239,23.5,264,26
0500000US35029,"Luna County, New Mexico",2238,472,21.1,992,44.3
0500000US35031,"McKinley County, New Mexico",8392,2104,25.1,3006,35.8
0500000US35033,"Mora County, New Mexico",423,54,12.8,45,10.6
0500000US35035,"Otero County, New Mexico",7411,1187,16,2529,34.1
0500000US35037,"Quay County, New Mexico",747,259,34.7,271,36.3
0500000US35039,"Rio Arriba County, New Mexico",3417,812,23.8,1084,31.7
0500000US35041,"Roosevelt County, New Mexico",3620,441,12.2,462,12.8
0500000US35043,"Sandoval County, New Mexico",11042,1967,17.8,3386,30.7
0500000US35045,"San Juan County, New Mexico",11895,2741,23,3691,31
0500000US35047,"San Miguel County, New Mexico",3228,541,16.8,795,24.6
0500000US35049,"Santa Fe County, New Mexico",11137,2810,25.2,2881,25.9
0500000US35051,"Sierra County, New Mexico",761,130,17.1,394,51.8
0500000US35053,"Socorro County, New Mexico",2087,451,21.6,665,31.9
0500000US35055,"Taos County, New Mexico",2241,524,23.4,815,36.4
0500000US35057,"Torrance County, New Mexico",1454,465,32,450,30.9
0500000US35059,"Union County, New Mexico",384,59,15.4,91,23.7
0500000US35061,"Valencia County, New Mexico",7007,1300,18.6,2538,36.2
0500000US36001,"Albany County, New York",44478,3195,7.2,10485,23.6
0500000US36003,"Allegany County, New York",7461,540,7.2,1594,21.4
0500000US36005,"Bronx County, New York",165551,40047,24.2,43773,26.4
0500000US36007,"Broome County, New York",27733,2681,9.7,6773,24.4
0500000US36009,"Cattaraugus County, New York",7483,1366,18.3,2465,32.9
0500000US36011,"Cayuga County, New York",7209,1400,19.4,2000,27.7
0500000US36013,"Chautauqua County, New York",14424,1997,13.8,3601,25
0500000US36015,"Chemung County, New York",8155,1148,14.1,2748,33.7
0500000US36017,"Chenango County, New York",4003,663,16.6,1457,36.4
0500000US36019,"Clinton County, New York",11432,1374,12,3527,30.9
0500000US36021,"Columbia County, New York",4816,816,16.9,1460,30.3
0500000US36023,"Cortland County, New York",8734,308,3.5,1583,18.1
0500000US36025,"Delaware County, New York",5009,443,8.8,1965,39.2
0500000US36027,"Dutchess County, New York",33531,3510,10.5,9491,28.3
0500000US36029,"Erie County, New York",94752,9951,10.5,25477,26.9
0500000US36031,"Essex County, New York",3102,552,17.8,1217,39.2
0500000US36033,"Franklin County, New York",5129,1212,23.6,1696,33.1
0500000US36035,"Fulton County, New York",4344,1064,24.5,1209,27.8
0500000US36037,"Genesee County, New York",5455,713,13.1,1786,32.7
0500000US36039,"Greene County, New York",4500,1114,24.8,1667,37
0500000US36041,"Hamilton County, New York",466,63,13.5,200,42.9
0500000US36043,"Herkimer County, New York",5823,773,13.3,1690,29
0500000US36045,"Jefferson County, New York",15299,1236,8.1,6756,44.2
0500000US36047,"Kings County, New York",251964,39081,15.5,65532,26
0500000US36049,"Lewis County, New York",2259,419,18.5,793,35.1
0500000US36051,"Livingston County, New York",9894,640,6.5,2399,24.2
0500000US36053,"Madison County, New York",9857,698,7.1,2519,25.6
0500000US36055,"Monroe County, New York",82330,9684,11.8,19763,24
0500000US36057,"Montgomery County, New York",4131,788,19.1,1179,28.5
0500000US36059,"Nassau County, New York",120229,10516,8.7,29076,24.2
0500000US36061,"New York County, New York",161844,17056,10.5,28918,17.9
0500000US36063,"Niagara County, New York",19730,1927,9.8,5890,29.9
0500000US36065,"Oneida County, New York",23311,3087,13.2,6382,27.4
0500000US36067,"Onondaga County, New York",50990,5543,10.9,11202,22
0500000US36069,"Ontario County, New York",10511,964,9.2,2753,26.2
0500000US36071,"Orange County, New York",39554,5203,13.2,12452,31.5
0500000US36073,"Orleans County, New York",3940,917,23.3,1516,38.5
0500000US36075,"Oswego County, New York",14556,1494,10.3,3819,26.2
0500000US36077,"Otsego County, New York",10762,836,7.8,2602,24.2
0500000US36079,"Putnam County, New York",8086,649,8,1997,24.7
0500000US36081,"Queens County, New York",210593,28586,13.6,49533,23.5
0500000US36083,"Rensselaer County, New York",17879,1356,7.6,5205,29.1
0500000US36085,"Richmond County, New York",43831,4554,10.4,11522,26.3
0500000US36087,"Rockland County, New York",29848,4560,15.3,8338,27.9
0500000US36089,"St. Lawrence County, New York",16725,1930,11.5,3862,23.1
0500000US36091,"Saratoga County, New York",18696,2216,11.9,4870,26
0500000US36093,"Schenectady County, New York",14871,2149,14.5,4034,27.1
0500000US36095,"Schoharie County, New York",3733,338,9.1,1261,33.8
0500000US36097,"Schuyler County, New York",1470,289,19.7,628,42.7
0500000US36099,"Seneca County, New York",3051,820,26.9,945,31
0500000US36101,"Steuben County, New York",8110,1392,17.2,3106,38.3
0500000US36103,"Suffolk County, New York",138167,14910,10.8,39394,28.5
0500000US36105,"Sullivan County, New York",6651,1348,20.3,1950,29.3
0500000US36107,"Tioga County, New York",3863,538,13.9,1458,37.7
0500000US36109,"Tompkins County, New York",28400,872,3.1,3702,13
0500000US36111,"Ulster County, New York",18323,1944,10.6,5507,30.1
0500000US36113,"Warren County, New York",5292,661,12.5,1788,33.8
0500000US36115,"Washington County, New York",5403,1146,21.2,2055,38
0500000US36117,"Wayne County, New York",7567,1358,17.9,2523,33.3
0500000US36119,"Westchester County, New York",83942,9958,11.9,22290,26.6
0500000US36121,"Wyoming County, New York",3544,601,17,1189,33.5
0500000US36123,"Yates County, New York",2809,554,19.7,903,32.1
0500000US37001,"Alamance County, North Carolina",15937,2765,17.3,4151,26
0500000US37003,"Alexander County, North Carolina",3045,394,12.9,1020,33.5
0500000US37005,"Alleghany County, North Carolina",850,188,22.1,378,44.5
0500000US37007,"Anson County, North Carolina",2534,523,20.6,1169,46.1
0500000US37009,"Ashe County, North Carolina",1853,452,24.4,542,29.2
0500000US37011,"Avery County, North Carolina",1785,257,14.4,469,26.3
0500000US37013,"Beaufort County, North Carolina",3793,700,18.5,1377,36.3
0500000US37015,"Bertie County, North Carolina",1945,594,30.5,732,37.6
0500000US37017,"Bladen County, North Carolina",3088,810,26.2,952,30.8
0500000US37019,"Brunswick County, North Carolina",6885,1156,16.8,2991,43.4
0500000US37021,"Buncombe County, North Carolina",20909,3123,14.9,5598,26.8
0500000US37023,"Burke County, North Carolina",8284,2006,24.2,2605,31.4
0500000US37025,"Cabarrus County, North Carolina",15216,2950,19.4,5415,35.6
0500000US37027,"Caldwell County, North Carolina",6761,1427,21.1,2616,38.7
0500000US37029,"Camden County, North Carolina",871,72,8.3,299,34.3
0500000US37031,"Carteret County, North Carolina",4834,764,15.8,1545,32
0500000US37033,"Caswell County, North Carolina",1826,382,20.9,545,29.8
0500000US37035,"Catawba County, North Carolina",13184,1939,14.7,4532,34.4
0500000US37037,"Chatham County, North Carolina",4282,725,16.9,1472,34.4
0500000US37039,"Cherokee County, North Carolina",1711,256,15,488,28.5
0500000US37041,"Chowan County, North Carolina",1023,159,15.5,231,22.6
0500000US37043,"Clay County, North Carolina",716,195,27.2,304,42.5
0500000US37045,"Cleveland County, North Carolina",9363,1365,14.6,3089,33
0500000US37047,"Columbus County, North Carolina",5032,1258,25,1383,27.5
0500000US37049,"Craven County, North Carolina",13482,1659,12.3,5302,39.3
0500000US37051,"Cumberland County, North Carolina",40751,4627,11.4,14069,34.5
0500000US37053,"Currituck County, North Carolina",1775,343,19.3,869,49
0500000US37055,"Dare County, North Carolina",2284,360,15.8,674,29.5
0500000US37057,"Davidson County, North Carolina",12872,2909,22.6,4935,38.3
0500000US37059,"Davie County, North Carolina",2945,492,16.7,1204,40.9
0500000US37061,"Duplin County, North Carolina",5217,1494,28.6,1606,30.8
0500000US37063,"Durham County, North Carolina",31345,4773,15.2,6190,19.7
0500000US37065,"Edgecombe County, North Carolina",5070,1334,26.3,1655,32.6
0500000US37067,"Forsyth County, North Carolina",36369,6070,16.7,11775,32.4
0500000US37069,"Franklin County, North Carolina",5442,1008,18.5,1849,34
0500000US37071,"Gaston County, North Carolina",18262,3411,18.7,6714,36.8
0500000US37073,"Gates County, North Carolina",936,105,11.2,421,45
0500000US37075,"Graham County, North Carolina",819,262,32,280,34.2
0500000US37077,"Granville County, North Carolina",5417,1355,25,1559,28.8
0500000US37079,"Greene County, North Carolina",1911,403,21.1,772,40.4
0500000US37081,"Guilford County, North Carolina",56837,7145,12.6,14501,25.5
0500000US37083,"Halifax County, North Carolina",4730,1107,23.4,1765,37.3
0500000US37085,"Harnett County, North Carolina",12204,1814,14.9,4002,32.8
0500000US37087,"Haywood County, North Carolina",4322,876,20.3,1204,27.9
0500000US37089,"Henderson County, North Carolina",7240,1559,21.5,2408,33.3
0500000US37091,"Hertford County, North Carolina",2686,377,14,843,31.4
0500000US37093,"Hoke County, North Carolina",4534,947,20.9,1329,29.3
0500000US37095,"Hyde County, North Carolina",495,157,31.7,203,41
0500000US37097,"Iredell County, North Carolina",13911,2543,18.3,4868,35
0500000US37099,"Jackson County, North Carolina",7697,365,4.7,1161,15.1
0500000US37101,"Johnston County, North Carolina",14268,2984,20.9,4863,34.1
0500000US37103,"Jones County, North Carolina",725,115,15.9,296,40.8
0500000US37105,"Lee County, North Carolina",5179,948,18.3,1790,34.6
0500000US37107,"Lenoir County, North Carolina",4977,1069,21.5,1877,37.7
0500000US37109,"Lincoln County, North Carolina",6275,987,15.7,2257,36
0500000US37111,"McDowell County, North Carolina",3571,597,16.7,1006,28.2
0500000US37113,"Macon County, North Carolina",2231,551,24.7,553,24.8
0500000US37115,"Madison County, North Carolina",2253,353,15.7,402,17.8
0500000US37117,"Martin County, North Carolina",1859,250,13.4,640,34.4
0500000US37119,"Mecklenburg County, North Carolina",93439,13717,14.7,23383,25
0500000US37121,"Mitchell County, North Carolina",1258,243,19.3,245,19.5
0500000US37123,"Montgomery County, North Carolina",2226,399,17.9,1001,45
